date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:38	10464/10464	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jun%202025%2007:46:58%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/221228_interconroom-83_resize.jpg/4120fb2878ecab3c6431e8dedbeaa291.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/221228_interconroom-83_resize.jpg/4120fb2878ecab3c6431e8dedbeaa291.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:40	67173/67173	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:39%20GMT	https://kualalumpur.intercontinental.com/blog/ev-charging	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/ev-charging.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:40	12200/12200	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jul%202025%2002:37:33%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/iws---2025-01-22t170212.491.jpg/8cb75ea6f50f0e937bd016482d0a7c9e.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/iws---2025-01-22t170212.491.jpg/8cb75ea6f50f0e937bd016482d0a7c9e.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:41	70865/70865	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:41%20GMT	https://kualalumpur.intercontinental.com/blog/5-lunch-spots-in-kuala-lumpur-to-check-out	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/5-lunch-spots-in-kuala-lumpur-to-check-out.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:41	11605/11605	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Jun%202025%2023:52:31%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/297.jpg/57463188618f6679e240b811ef3522b6.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/297.jpg/57463188618f6679e240b811ef3522b6.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:42	69675/69675	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:42%20GMT	https://kualalumpur.intercontinental.com/blog/ramadan-guide-in-kuala-lumpur	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/ramadan-guide-in-kuala-lumpur.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:42	10442/10442	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jul%202025%2008:18:27%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/3840x-2160---ramadan-blog.jpg/67a9d1a77e28b10de98e67eb4c2b527a.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/3840x-2160---ramadan-blog.jpg/67a9d1a77e28b10de98e67eb4c2b527a.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:44	70300/70300	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:43%20GMT	https://kualalumpur.intercontinental.com/blog/one-day-itinerary-in-kl	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/one-day-itinerary-in-kl.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:44	36860/36860	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jun%202025%2007:34:13%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/1980x1080_blog.png/2b49a3d2855e725cd58aa33510e8c87d.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/1980x1080_blog.png/2b49a3d2855e725cd58aa33510e8c87d.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:45	73433/73433	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:44%20GMT	https://kualalumpur.intercontinental.com/blog/5-fine-dining-spots-in-kl-how-to-get-there	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/5-fine-dining-spots-in-kl-how-to-get-there.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:45	39703/39703	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jun%202025%2007:26:02%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/2-1568799570.png/87f56db5e7e3a01f9b853ea7cf980801.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/2-1568799570.png/87f56db5e7e3a01f9b853ea7cf980801.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:46	75287/75287	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:46%20GMT	https://kualalumpur.intercontinental.com/blog/family-friendly-activities-in-kl	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/family-friendly-activities-in-kl.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:46	42044/42044	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Jul%202025%2012:19:46%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/600x600_blog_header_1_(1).png/7ce641adb1827ba89e1eda448411c4e9.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/600x600_blog_header_1_(1).png/7ce641adb1827ba89e1eda448411c4e9.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:47	72016/72016	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:47%20GMT	https://kualalumpur.intercontinental.com/blog/partying-in-kuala-lumpur	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/partying-in-kuala-lumpur.html	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:47	10455/10455	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Jun%202025%2004:24:39%20GMT	https://ejmse4m6ybw.exactdn.com/assets/containers/main/blog/april-issue-2018.jpg/3883c454d3cfd6f4539a5551cdb4eacd.jpg	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/assets/containers/main/blog/april-issue-2018.jpg/3883c454d3cfd6f4539a5551cdb4eacd.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:47	69252/69252	---M--	200	added ('OK')	image/png	etag:%2210e84-6286a716bc2ce%22	https://kualalumpur.intercontinental.com/resources/blog/ich-ambassador.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/blog/ich-ambassador.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:47	33126/33126	---M--	200	added ('OK')	image/png	etag:%228166-6286a716df55a%22	https://kualalumpur.intercontinental.com/resources/blog/best-price-guaranteed.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/blog/best-price-guaranteed.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:48	8177/8177	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Apr%202025%2021:00:26%20GMT	https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:48	17501/17501	---M--	200	added ('OK')	image/png	etag:%22445d-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/ihg-hotels---resorts.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/ihg-hotels---resorts.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:49	97203/97203	---M--	200	added ('OK')	image/png	etag:%2217bb3-6286a716b556c%22	https://kualalumpur.intercontinental.com/resources/logos/six-senses.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/six-senses.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:49	68298/68298	---M--	200	added ('OK')	image/png	etag:%2210aca-6286a716b556c%22	https://kualalumpur.intercontinental.com/resources/logos/regent.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/regent.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:49	21363/21363	---M--	200	added ('OK')	image/png	etag:%225373-6286a716b556c%22	https://kualalumpur.intercontinental.com/resources/logos/intercontinental-hotels---resorts.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/intercontinental-hotels---resorts.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
